ZIP,X_COORD,Y_COORD,ZIP_OFFER_NUM,ZIP_OFFER_NUM_LVL,ZIP_RATE_AVG,ZIP_RATE_AVG_LVL,GROUP,LON,LAT
737,-10.932420524932082,4.358389698239199,481,0.61779441140506,8.247335039318436,2,4,-98.20760449968452,36.41871337156883
010,-8.081933972234824,5.1996677525561505,135,0.49126548857360525,8.2469617473629,2,19,-72.60124812503338,42.2577504698868
214,-8.516403965491685,4.720215778496936,22,0.313549421592915,8.246671788321303,2,17,-76.50415847937282,38.98983604993687
483,-9.278310068801137,5.260473749381156,1231,0.7116394144093465,8.24635063190583,2,13,-83.34847745604108,42.66073333641068
681,-10.691460681556087,5.049301349890746,1458,0.7285506548522785,8.245294966686798,2,4,-96.04302539804748,41.25009803447568
803,-11.721673835459354,4.869574977298632,330,0.5802118375377063,8.243735121429353,2,3,-105.29758761857029,40.02499381300685
085,-8.306232915446625,4.900871574784952,3947,0.8280964400553372,8.243005445344647,2,8,-74.61615981402356,40.23994247697098
495,-9.53564822166667,5.304858477633161,1238,0.7122059881629142,8.242928450445074,2,13,-85.66018541510303,42.953248372121294
512,-10.69171537268972,5.354440166842505,14,0.270805020110221,8.242786793206994,2,10,-96.0453133274282,43.27837736699238
131,-8.498970051117844,5.323324707082646,116,0.47621739347977565,8.241037937483327,2,8,-76.3475469619323,43.07454145097396
447,-9.057539256359854,4.986124265996277,413,0.6025865973825314,8.240357612435885,2,0,-81.36525950500622,40.822015058944004
137,-8.39518600230647,5.193673127932608,131,0.48828019225863706,8.239793952765224,2,8,-75.41523898898166,42.21788156147257
508,-10.525903051942988,5.007231136336725,53,0.39889840465642745,8.237662475783452,2,10,-94.55579590720703,40.96534319609047
494,-9.589111024125659,5.371283569685234,208,0.5342334251964811,8.235504291891381,2,13,-86.14044994091074,43.38843381228943
172,-8.660467447413387,4.864556376329442,655,0.6486160788944089,8.233672239209799,2,17,-77.79830275631024,39.99046224917335
441,-9.091027900854654,5.074487376912554,2513,0.7829630389150193,8.23168661773219,2,0,-81.66609311694744,41.41997998262448
316,-9.2572962917945,3.6319757240401174,857,0.6754604099487962,8.230601062981762,2,6,-83.15970748541969,30.99404443491315
975,-13.698754404133327,5.214322529413043,892,0.6794586580876498,8.228379746446477,2,9,-123.05800454632576,42.355110044069136
524,-10.205304121774484,5.156034392033145,170,0.514166355650266,8.225483494612485,2,10,-91.67580671677968,41.96697934033782
590,-12.091158282169646,5.777956977008806,33,0.35263605246161617,8.223148309342942,2,11,-108.6167228758133,45.98506985647181
448,-9.212114194641623,5.0139302363434455,146,0.4990432586778736,8.2231184854355,2,0,-82.75382980100966,41.0107691197593
449,-9.189365723920615,4.974918481864462,113,0.4736198448394496,8.222384932371341,2,0,-82.5494768116194,40.74579500008035
147,-8.775556234146833,5.191721060367906,50,0.39318256327243256,8.219250791302441,2,0,-78.8321629178445,42.20489335995344
453,-9.384446248605634,4.862089220467206,518,0.6251903883165888,8.21674965598084,2,2,-84.30191498120548,39.97348004843588
829,-12.221256706636598,5.173463488253985,133,0.4897839799950911,8.215830862916158,2,11,-109.78541690719862,42.083286195645464
565,-10.695498899042517,5.919454885822202,54,0.4007333185232471,8.215432602784876,2,15,-96.07930132293407,46.861243926017494
875,-11.79948033407272,4.330066937222095,859,0.6756932389247553,8.2152557690054,2,14,-105.9965352876524,36.213705748466516
011,-8.075870413358274,5.175994012555433,87,0.44773368144782066,8.213947341344866,2,19,-72.54677824888374,42.10015505660152
477,-9.750368547724548,4.581838465116836,275,0.562040086571715,8.21232812798944,2,18,-87.58905092219223,38.01707674469173
522,-10.215718373870368,5.146916436087826,206,0.5332718793265369,8.209706027695107,2,10,-91.76935953508377,41.90604915665325
537,-9.949291794366525,5.322422371481894,299,0.57037824746562,8.208934220414369,2,13,-89.37600885044388,43.06862014159441
873,-12.08573695612156,4.230724417761462,26,0.3295836866004329,8.20655151687495,2,14,-108.56802227532138,35.49038939080094
444,-8.991973930571309,5.026482162318971,437,0.6082218910376447,8.206065960380311,2,0,-80.77627616236495,41.095798203794885
159,-8.776756547736477,4.915332737140717,15,0.2772588722239781,8.205976476725466,2,0,-78.84294551827763,40.33903368694301
871,-11.882860621819356,4.177883683627913,2958,0.7992606652400209,8.204126365037924,2,14,-106.74555315642328,35.10297373696334
445,-8.979547248640896,5.022386130372851,140,0.4948759890378168,8.20337051026862,2,0,-80.66464537927514,41.068063000796336
815,-12.09930405575449,4.7101448849435075,455,0.6122492809514386,8.203118442856423,2,3,-108.68989760493572,38.919483895656846
